,Release Date,Year,Movie Title, Budget , Domestic Gross , Worldwide Gross ,Wiki,Unnamed: 0,variable,Actor
155,5/19/2006,2006,Over the Hedge,"  $80,000,000 ","  $155,019,340 ","  $343,397,247 ",error,13,2,error
156,7/12/2013,2013,Grown Ups 2,"  $80,000,000 ","  $133,668,525 ","  $247,023,808 ",error,13,2,error
157,2/19/2010,2010,Shutter Island,"  $80,000,000 ","  $128,012,934 ","  $299,461,782 ",error,13,2,error
158,7/12/2002,2002,Road to Perdition,"  $80,000,000 ","  $104,054,514 ","  $183,354,514 ",error,13,2,error
159,2/14/2003,2003,Daredevil,"  $80,000,000 ","  $102,543,518 ","  $182,782,518 ",error,13,2,error
160,12/18/2019,2019,Star Wars: The Rise of Skywalker,"  $275,000,000 ","  $515,202,542 ","  $1,072,848,487 ",<WikipediaPage 'Star Wars: The Rise of Skywalker'>,48,8,"['Carrie Fisher', 'Mark Hamill', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Anthony Daniels', 'Naomi Ackie', 'Domhnall Gleeson', 'Richard E. Grant', ""Lupita Nyong'o"", 'Keri Russell', 'Joonas Suotamo', 'Kelly Marie Tran', 'Ian McDiarmid', 'Billy Dee Williams']"
161,5/23/2018,2018,Solo: A Star Wars Story,"  $275,000,000 ","  $213,767,512 ","  $393,151,347 ",<WikipediaPage 'Solo: A Star Wars Story'>,54,9,"['Alden Ehrenreich', 'Woody Harrelson', 'Emilia Clarke', 'Donald Glover', 'Thandiwe Newton', 'Phoebe Waller-Bridge', 'Joonas Suotamo', 'Paul Bettany']"
162,3/7/2012,2012,John Carter,"  $263,700,000 ","  $73,058,679 ","  $282,778,100 ",<WikipediaPage 'John Carter (film)'>,60,10,"['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton', 'Mark Strong', 'Ciarán Hinds', 'Dominic West', 'James Purefoy', 'Willem Dafoe']"
163,3/23/2016,2016,Batman v Superman: Dawn of Justice,"  $263,000,000 ","  $330,360,194 ","  $872,395,091 ",<WikipediaPage 'Batman v Superman: Dawn of Justice'>,66,11,"['Ben Affleck', 'Henry Cavill', 'Amy Adams', 'Jesse Eisenberg', 'Diane Lane', 'Laurence Fishburne', 'Jeremy Irons', 'Holly Hunter', 'Gal Gadot']"
164,7/11/2019,2019,The Lion King,"  $260,000,000 ","  $543,638,043 ","  $1,654,381,934 ",<WikipediaPage 'The Lion King'>,72,12,"['Matthew Broderick', 'Jonathan Taylor Thomas', 'James Earl Jones', 'Jeremy Irons', 'Moira Kelly', 'Ernie Sabella', 'Nathan Lane', 'Robert Guillaume', 'Rowan Atkinson', 'Whoopi Goldberg', 'Cheech Marin', 'Jim Cummings', 'Madge Sinclair']"
