,Actor,value,variable,Title
95,error,error,15,Thor: Ragnarok
96,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Jim Broadbent', 'Helena Bonham Carter', 'Robbie Coltrane', 'Warwick Davis', 'Michael Gambon', 'Alan Rickman', 'Maggie Smith', 'Timothy Spall', 'David Thewlis', 'Julie Walters']",<WikipediaPage 'Harry Potter and the Half-Blood Prince (film)'>,16,"The Chronicles of Narnia: The Lion, the Witch a…"
97,"['John C. Reilly', 'Sarah Silverman', 'Gal Gadot', 'Taraji P. Henson', 'Jack McBrayer', 'Jane Lynch', 'Alan Tudyk', 'Alfred Molina', ""Ed O'Neill""]",<WikipediaPage 'Ralph Breaks the Internet'>,16,Maleficent
98,"['Halle Berry', 'Patrick Wilson', 'John Bradley', 'Charlie Plummer', 'Michael Peña', 'Donald Sutherland']",<WikipediaPage 'Moonfall (film)'>,16,Fantastic Beasts and Where to Find Them
99,"['Cameron Diaz', 'Lucy Liu', 'Bernie Mac', 'Crispin Glover', 'Justin Theroux', 'Robert Patrick', 'Demi Moore']",<WikipediaPage 'Charlie's Angels: Full Throttle'>,16,WALL-E
100,error,error,16,Rush Hour 3
101,"['Dave Bautista', 'Ella Purnell', 'Omari Hardwick', 'Ana de la Reguera', 'Theo Rossi', 'Matthias Schweighöfer', 'Nora Arnezeder', 'Hiroyuki Sanada', 'Tig Notaro', 'Raúl Castillo', 'Huma Qureshi', 'Garret Dillahunt']",<WikipediaPage 'Army of the Dead'>,16,The Legend of Tarzan
102,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'Benedict Cumberbatch', 'Evangeline Lilly', 'Lee Pace', 'Luke Evans', 'Ken Stott', 'James Nesbitt', 'Orlando Bloom']",<WikipediaPage 'The Hobbit: The Desolation of Smaug'>,17,Hugo
103,"['Reese Witherspoon', 'Seth Rogen', 'Hugh Laurie', 'Will Arnett', 'Kiefer Sutherland', 'Rainn Wilson', 'Paul Rudd', 'Stephen Colbert', 'Amy Poehler']",<WikipediaPage 'Monsters vs. Aliens'>,17,Valerian and the City of a Thousand Planets
104,"['Hugh Jackman', 'Kate Winslet', 'Jean Reno', 'Bill Nighy', 'Andy Serkis', 'Shane Richie', 'Ian McKellen']",<WikipediaPage 'Flushed Away'>,17,Jupiter Ascending
105,error,<WikipediaPage 'Elysium'>,17,Mission: Impossible—Fallout
106,"['Helen Mirren', 'Geoffrey Rush', 'Jim Sturgess', 'Hugo Weaving', 'Emily Barclay', 'Abbie Cornish', 'Ryan Kwanten', 'Anthony LaPaglia', 'Miriam Margolyes', 'Sam Neill', 'Richard Roxburgh', 'David Wenham']",<WikipediaPage 'Legend of the Guardians: The Owls of Ga'Hoole'>,17,X-Men: Apocalypse
107,error,error,17,The Meg
108,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'Evangeline Lilly', 'Lee Pace', 'Luke Evans', 'Benedict Cumberbatch', 'Ken Stott', 'James Nesbitt', 'Cate Blanchett', 'Ian Holm', 'Christopher Lee', 'Hugo Weaving', 'Orlando Bloom']",<WikipediaPage 'The Hobbit: The Battle of the Five Armies'>,18,Edge of Tomorrow
