,variable,value,Actor
101,16,<WikipediaPage 'Army of the Dead'>,"['Dave Bautista', 'Ella Purnell', 'Omari Hardwick', 'Ana de la Reguera', 'Theo Rossi', 'Matthias Schweighöfer', 'Nora Arnezeder', 'Hiroyuki Sanada', 'Tig Notaro', 'Raúl Castillo', 'Huma Qureshi', 'Garret Dillahunt']"
102,17,<WikipediaPage 'The Hobbit: The Desolation of Smaug'>,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'Benedict Cumberbatch', 'Evangeline Lilly', 'Lee Pace', 'Luke Evans', 'Ken Stott', 'James Nesbitt', 'Orlando Bloom']"
103,17,<WikipediaPage 'Monsters vs. Aliens'>,"['Reese Witherspoon', 'Seth Rogen', 'Hugh Laurie', 'Will Arnett', 'Kiefer Sutherland', 'Rainn Wilson', 'Paul Rudd', 'Stephen Colbert', 'Amy Poehler']"
104,17,<WikipediaPage 'Flushed Away'>,"['Hugh Jackman', 'Kate Winslet', 'Jean Reno', 'Bill Nighy', 'Andy Serkis', 'Shane Richie', 'Ian McKellen']"
105,17,<WikipediaPage 'Elysium'>,error
106,17,<WikipediaPage 'Legend of the Guardians: The Owls of Ga'Hoole'>,"['Helen Mirren', 'Geoffrey Rush', 'Jim Sturgess', 'Hugo Weaving', 'Emily Barclay', 'Abbie Cornish', 'Ryan Kwanten', 'Anthony LaPaglia', 'Miriam Margolyes', 'Sam Neill', 'Richard Roxburgh', 'David Wenham']"
107,17,error,error
108,18,<WikipediaPage 'The Hobbit: The Battle of the Five Armies'>,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'Evangeline Lilly', 'Lee Pace', 'Luke Evans', 'Benedict Cumberbatch', 'Ken Stott', 'James Nesbitt', 'Cate Blanchett', 'Ian Holm', 'Christopher Lee', 'Hugo Weaving', 'Orlando Bloom']"
109,18,<WikipediaPage 'Cars 3'>,"['Owen Wilson', 'Cristela Alonzo', 'Chris Cooper', 'Armie Hammer', 'Larry the Cable Guy', 'Bonnie Hunt', 'Nathan Fillion', 'Lea DeLaria', 'Kerry Washington']"
110,18,<WikipediaPage 'Madagascar 3: Europe's Most Wanted'>,"['Ben Stiller', 'Chris Rock', 'David Schwimmer', 'Jada Pinkett Smith', 'Sacha Baron Cohen', 'Cedric the Entertainer', 'Andy Richter', 'Tom McGrath', 'Jessica Chastain', 'Bryan Cranston', 'Martin Short', 'Frances McDormand']"
