Release Date,Year,Movie Title, Budget , Domestic Gross , Worldwide Gross 
7/18/2003,2003,Bad Boys II,"  $130,000,000 ","  $138,540,870 ","  $273,271,982 "
3/20/2014,2014,Rio 2,"  $130,000,000 ","  $131,538,435 ","  $492,846,291 "
7/23/2010,2010,Salt,"  $130,000,000 ","  $118,311,368 ","  $290,650,494 "
3/27/2014,2014,Noah,"  $130,000,000 ","  $101,200,044 ","  $352,831,065 "
10/28/2011,2011,The Adventures of Tintin,"  $130,000,000 ","  $77,591,831 ","  $373,993,951 "
5/31/2013,2013,After Earth,"  $130,000,000 ","  $60,522,097 ","  $251,499,665 "
11/26/2008,2008,Australia,"  $130,000,000 ","  $49,554,002 ","  $215,080,810 "
7/19/2013,2013,R.I.P.D.,"  $130,000,000 ","  $33,618,855 ","  $79,076,678 "
1/3/2019,2019,How to Train Your Dragon: The Hidden World,"  $129,000,000 ","  $160,799,505 ","  $522,746,363 "
11/18/2011,2011,"The Twilight Saga: Breaking Dawn, Part 1","  $127,500,000 ","  $281,287,133 ","  $689,420,051 "
5/19/2000,2000,Dinosaur,"  $127,500,000 ","  $137,748,063 ","  $356,148,063 "
2/23/2017,2017,Logan,"  $127,000,000 ","  $226,277,068 ","  $614,202,315 "
12/18/2014,2014,Night at the Museum: Secret of the Tomb,"  $127,000,000 ","  $113,746,621 ","  $353,756,621 "
7/13/2011,2011,Harry Potter and the Deathly Hallows: Part II,"  $125,000,000 ","  $381,193,157 ","  $1,334,392,544 "
11/19/2014,2014,The Hunger Games: Mockingjay - Part 1,"  $125,000,000 ","  $337,135,885 ","  $766,575,131 "
11/15/2001,2001,Harry Potter and the Sorcerer’s Stone,"  $125,000,000 ","  $317,871,467 ","  $965,054,122 "
12/4/2019,2019,Jumanji: The Next Level,"  $125,000,000 ","  $316,831,246 ","  $800,128,637 "
11/17/2010,2010,Harry Potter and the Deathly Hallows: Part I,"  $125,000,000 ","  $296,131,568 ","  $955,371,891 "
5/19/2006,2006,The Da Vinci Code,"  $125,000,000 ","  $217,536,138 ","  $767,820,459 "
4/30/2003,2003,X-Men 2,"  $125,000,000 ","  $214,949,694 ","  $406,348,630 "
4/21/2011,2011,Fast Five,"  $125,000,000 ","  $210,031,325 ","  $630,163,454 "
8/8/2014,2014,Teenage Mutant Ninja Turtles,"  $125,000,000 ","  $191,204,754 ","  $485,004,754 "
12/16/2011,2011,Sherlock Holmes: A Game of Shadows,"  $125,000,000 ","  $186,848,418 ","  $535,663,443 "
5/27/2004,2004,The Day After Tomorrow,"  $125,000,000 ","  $186,740,799 ","  $555,840,117 "
3/17/2017,2017,The Boss Baby,"  $125,000,000 ","  $175,003,033 ","  $527,965,936 "
4/1/2010,2010,Clash of the Titans,"  $125,000,000 ","  $163,214,888 ","  $493,214,888 "
10/12/2016,2016,Trolls,"  $125,000,000 ","  $153,707,064 ","  $343,242,613 "
5/19/1998,1998,Godzilla,"  $125,000,000 ","  $136,314,294 ","  $376,000,000 "
5/30/2012,2012,Prometheus,"  $125,000,000 ","  $126,477,084 ","  $402,448,265 "
8/10/2012,2012,The Bourne Legacy,"  $125,000,000 ","  $113,203,870 ","  $280,355,920 "
6/20/1997,1997,Batman & Robin,"  $125,000,000 ","  $107,325,195 ","  $238,317,814 "
7/5/2018,2018,Skyscraper,"  $125,000,000 ","  $68,420,120 ","  $304,868,961 "
1/3/2020,2020,The Call of the Wild,"  $125,000,000 ","  $62,342,368 ","  $107,360,936 "
8/3/2012,2012,Total Recall,"  $125,000,000 ","  $58,877,969 ","  $211,856,088 "
12/21/2016,2016,Assassin’s Creed,"  $125,000,000 ","  $54,647,948 ","  $240,759,682 "
12/29/2016,2016,Monster Trucks,"  $125,000,000 ","  $33,370,166 ","  $61,642,798 "
8/27/1999,1999,The 13th Warrior,"  $125,000,000 ","  $32,698,899 ","  $61,698,899 "
11/17/2000,2000,How the Grinch Stole Christmas,"  $123,000,000 ","  $260,348,825 ","  $345,445,403 "
5/24/2000,2000,Mission: Impossible 2,"  $120,000,000 ","  $215,409,889 ","  $549,588,516 "
6/30/2000,2000,The Perfect Storm,"  $120,000,000 ","  $182,618,434 ","  $328,711,434 "
7/20/2016,2016,Jason Bourne,"  $120,000,000 ","  $162,192,920 ","  $416,168,316 "
6/15/2007,2007,Fantastic Four: Rise of the Silver Surfer,"  $120,000,000 ","  $131,921,738 ","  $289,480,691 "
11/21/2012,2012,Life of Pi,"  $120,000,000 ","  $124,987,022 ","  $619,310,368 "
2/16/2007,2007,Ghost Rider,"  $120,000,000 ","  $115,802,596 ","  $229,545,589 "
4/9/2018,2018,Rampage,"  $120,000,000 ","  $101,028,233 ","  $427,947,217 "
6/27/2003,2003,Charlie s Angels: Full Throttle,"  $120,000,000 ","  $100,814,328 ","  $227,163,273 "
8/9/2013,2013,Elysium,"  $120,000,000 ","  $93,050,117 ","  $286,192,091 "
4/19/2013,2013,Oblivion,"  $120,000,000 ","  $89,107,235 ","  $287,916,633 "
3/24/2017,2017,Power Rangers,"  $120,000,000 ","  $85,364,450 ","  $142,531,552 "
7/19/2002,2002,Stuart Little 2,"  $120,000,000 ","  $64,956,806 ","  $166,000,000 "
2/12/2014,2014,RoboCop,"  $120,000,000 ","  $58,607,007 ","  $242,981,799 "
6/11/2004,2004,The Chronicles of Riddick,"  $120,000,000 ","  $57,712,751 ","  $107,212,751 "
8/5/2015,2015,The Fantastic Four,"  $120,000,000 ","  $56,117,548 ","  $167,849,187 "
5/9/2008,2008,Speed Racer,"  $120,000,000 ","  $43,945,766 ","  $93,394,462 "
7/22/2005,2005,The Island,"  $120,000,000 ","  $35,818,913 ","  $163,018,913 "
12/17/2010,2010,How Do You Know?,"  $120,000,000 ","  $30,212,620 ","  $49,628,177 "
6/23/2010,2010,Knight and Day,"  $117,000,000 ","  $76,423,035 ","  $258,751,370 "
10/2/2018,2018,Venom,"  $116,000,000 ","  $213,511,408 ","  $853,530,899 "
5/19/1999,1999,Star Wars Ep. I: The Phantom Menace,"  $115,000,000 ","  $474,544,677 ","  $1,027,044,677 "
5/19/2005,2005,Star Wars Ep. III: Revenge of the Sith,"  $115,000,000 ","  $380,270,577 ","  $848,998,877 "
5/16/2002,2002,Star Wars Ep. II: Attack of the Clones,"  $115,000,000 ","  $310,676,740 ","  $656,695,615 "
11/2/2001,2001,"Monsters, Inc.","  $115,000,000 ","  $290,149,425 ","  $560,483,719 "
7/26/2013,2013,The Wolverine,"  $115,000,000 ","  $132,556,852 ","  $416,456,852 "
2/7/1997,1997,Dante’s Peak,"  $115,000,000 ","  $67,163,857 ","  $178,200,000 "
4/6/2016,2016,The Huntsman: Winter’s War,"  $115,000,000 ","  $48,003,015 ","  $165,149,302 "
6/14/2002,2002,Windtalkers,"  $115,000,000 ","  $40,914,068 ","  $77,628,265 "
7/4/2008,2008,Astérix aux Jeux Olympiques,"  $113,500,000 ","  $999,811 ","  $132,999,811 "
12/24/2010,2010,Gulliver s Travels,"  $112,000,000 ","  $42,779,261 ","  $232,017,848 "
12/8/2017,2017,Ferdinand,"  $111,000,000 ","  $84,410,380 ","  $289,838,913 "
5/11/2018,2018,Deadpool 2,"  $110,000,000 ","  $324,591,735 ","  $786,362,370 "
10/3/2013,2013,Gravity,"  $110,000,000 ","  $274,092,705 ","  $689,742,192 "
12/22/2006,2006,Night at the Museum,"  $110,000,000 ","  $250,863,268 ","  $579,446,407 "
6/10/2005,2005,Mr. and Mrs. Smith,"  $110,000,000 ","  $186,336,279 ","  $486,124,090 "
5/27/2015,2015,San Andreas,"  $110,000,000 ","  $155,190,832 ","  $456,258,539 "
7/29/2011,2011,The Smurfs,"  $110,000,000 ","  $142,614,158 ","  $563,749,323 "
6/27/2007,2007,Live Free or Die Hard,"  $110,000,000 ","  $134,529,403 ","  $382,288,147 "
3/18/2015,2015,The Divergent Series: Insurgent,"  $110,000,000 ","  $130,179,072 ","  $295,075,882 "
12/10/2004,2004,Ocean s Twelve,"  $110,000,000 ","  $125,531,634 ","  $362,989,076 "
12/19/1997,1997,Tomorrow Never Dies,"  $110,000,000 ","  $125,304,276 ","  $339,504,276 "
6/28/2000,2000,The Patriot,"  $110,000,000 ","  $113,330,342 ","  $215,300,000 "
3/7/2014,2014,300: Rise of an Empire,"  $110,000,000 ","  $106,580,051 ","  $330,780,051 "
12/17/2004,2004,The Aviator,"  $110,000,000 ","  $102,608,827 ","  $208,370,892 "
12/21/2016,2016,Passengers,"  $110,000,000 ","  $100,014,699 ","  $302,239,672 "
1/14/2011,2011,The Green Hornet,"  $110,000,000 ","  $98,780,042 ","  $229,155,503 "
9/21/2016,2016,Miss Peregrine’s Home for Peculiar Children,"  $110,000,000 ","  $87,242,834 ","  $295,986,876 "
10/7/2011,2011,Real Steel,"  $110,000,000 ","  $85,463,309 ","  $263,880,341 "
6/12/2019,2019,Men in Black: International,"  $110,000,000 ","  $80,001,807 ","  $253,020,464 "
6/11/2010,2010,The A-Team,"  $110,000,000 ","  $77,222,099 ","  $177,241,171 "
7/31/2013,2013,The Smurfs 2,"  $110,000,000 ","  $71,017,784 ","  $348,547,523 "
3/9/2016,2016,The Divergent Series: Allegiant,"  $110,000,000 ","  $66,184,051 ","  $172,022,517 "
6/12/2009,2009,The Taking of Pelham 123,"  $110,000,000 ","  $65,452,312 ","  $152,364,370 "
10/25/2013,2013,Ender s Game,"  $110,000,000 ","  $61,737,191 ","  $127,983,283 "
4/2/2004,2004,Home on the Range,"  $110,000,000 ","  $50,026,353 ","  $76,482,461 "
6/13/1997,1997,Speed 2: Cruise Control,"  $110,000,000 ","  $48,097,081 ","  $150,468,000 "
5/6/2005,2005,Kingdom of Heaven,"  $110,000,000 ","  $47,398,413 ","  $218,674,938 "
3/23/2017,2017,Ghost in the Shell,"  $110,000,000 ","  $40,563,557 ","  $167,910,690 "
6/16/2004,2004,Around the World in 80 Days,"  $110,000,000 ","  $24,004,159 ","  $72,004,159 "
11/21/2003,2003,The Cat in the Hat,"  $109,000,000 ","  $101,018,283 ","  $133,818,283 "
12/25/2001,2001,Ali,"  $109,000,000 ","  $58,183,966 ","  $87,683,966 "
9/30/2015,2015,The Martian,"  $108,000,000 ","  $228,433,663 ","  $655,111,538 "
11/20/2016,2016,Allied,"  $106,000,000 ","  $40,098,064 ","  $119,266,661 "
7/16/2004,2004,"I, Robot","  $105,000,000 ","  $144,801,023 ","  $348,629,585 "
12/17/1999,1999,Stuart Little,"  $105,000,000 ","  $140,015,224 ","  $298,815,224 "
11/25/2009,2009,The Princess and the Frog,"  $105,000,000 ","  $104,400,899 ","  $270,997,378 "
3/7/2008,2008,"10,000 B.C.","  $105,000,000 ","  $94,784,201 ","  $269,065,678 "
7/1/2016,2016,Ice Age: Collision Course,"  $105,000,000 ","  $64,063,008 ","  $402,156,682 "
4/27/2001,2001,Town & Country,"  $105,000,000 ","  $6,712,451 ","  $10,364,769 "
9/19/2017,2017,Kingsman: The Golden Circle,"  $104,000,000 ","  $100,234,838 ","  $408,803,696 "
6/9/2000,2000,Gone in 60 Seconds,"  $103,300,000 ","  $101,643,008 ","  $232,643,008 "
5/4/2000,2000,Gladiator,"  $103,000,000 ","  $187,683,805 ","  $457,552,323 "
5/23/2013,2013,The Hangover 3,"  $103,000,000 ","  $112,200,072 ","  $362,000,072 "
3/9/2018,2018,A Wrinkle in Time,"  $103,000,000 ","  $100,478,608 ","  $133,401,882 "
7/1/2009,2009,Public Enemies,"  $102,500,000 ","  $97,104,620 ","  $212,282,709 "
11/17/2006,2006,Casino Royale,"  $102,000,000 ","  $167,365,000 ","  $594,420,283 "
6/21/2002,2002,Minority Report,"  $102,000,000 ","  $132,024,714 ","  $358,824,714 "
12/13/2018,2018,Bumblebee,"  $102,000,000 ","  $127,195,589 ","  $465,195,589 "
10/26/2012,2012,Cloud Atlas,"  $102,000,000 ","  $27,108,272 ","  $130,673,154 "
11/15/2002,2002,Harry Potter and the Chamber of Secrets,"  $100,000,000 ","  $262,233,381 ","  $876,508,805 "
7/2/1991,1991,Terminator 2: Judgment Day,"  $100,000,000 ","  $203,464,105 ","  $515,390,883 "
6/16/1995,1995,Batman Forever,"  $100,000,000 ","  $184,031,112 ","  $336,529,144 "
7/27/2001,2001,Planet of the Apes,"  $100,000,000 ","  $180,011,740 ","  $362,211,740 "
11/19/2004,2004,National Treasure,"  $100,000,000 ","  $173,005,002 ","  $331,323,410 "
12/25/2012,2012,Django Unchained,"  $100,000,000 ","  $162,805,434 ","  $449,841,566 "
12/25/2019,2019,1917,"  $100,000,000 ","  $159,227,644 ","  $366,614,721 "
12/22/2010,2010,Little Fockers,"  $100,000,000 ","  $148,438,600 ","  $310,650,574 "
7/15/1994,1994,True Lies,"  $100,000,000 ","  $146,282,411 ","  $365,300,000 "
11/2/2007,2007,American Gangster,"  $100,000,000 ","  $130,164,645 ","  $267,985,456 "
9/18/2009,2009,Cloudy with a Chance of Meatballs,"  $100,000,000 ","  $124,870,275 ","  $236,827,677 "
8/6/2010,2010,The Other Guys,"  $100,000,000 ","  $119,219,978 ","  $170,936,470 "
12/17/2004,2004,Lemony Snicket s A Series of Unfortunate Events,"  $100,000,000 ","  $118,627,117 ","  $212,956,024 "
12/25/2013,2013,The Wolf of Wall Street,"  $100,000,000 ","  $116,949,183 ","  $389,918,903 "
5/24/2013,2013,Epic,"  $100,000,000 ","  $107,518,682 ","  $262,794,441 "
6/21/1996,1996,Eraser,"  $100,000,000 ","  $101,295,562 ","  $234,400,000 "
6/21/1996,1996,The Hunchback of Notre Dame,"  $100,000,000 ","  $100,138,851 ","  $325,500,000 "
12/15/2000,2000,The Emperor s New Groove,"  $100,000,000 ","  $89,630,573 ","  $169,630,573 "
8/15/2012,2012,The Expendables 2,"  $100,000,000 ","  $85,028,192 ","  $311,979,256 "
10/16/2009,2009,Where the Wild Things Are,"  $100,000,000 ","  $77,233,467 ","  $99,123,656 "
12/15/2006,2006,Eragon,"  $100,000,000 ","  $75,030,163 ","  $249,488,115 "
7/23/2014,2014,Hercules,"  $100,000,000 ","  $72,688,614 ","  $243,388,614 "
12/10/2010,2010,The Tourist,"  $100,000,000 ","  $67,631,157 ","  $278,731,369 "
11/24/1999,1999,End of Days,"  $100,000,000 ","  $66,889,043 ","  $212,026,975 "
12/25/2019,2019,Spies in Disguise,"  $100,000,000 ","  $66,757,013 ","  $165,139,629 "
6/11/2004,2004,The Stepford Wives,"  $100,000,000 ","  $59,475,623 ","  $96,150,482 "
6/8/2007,2007,Surf’s Up,"  $100,000,000 ","  $58,867,694 ","  $145,395,745 "
12/8/2006,2006,Blood Diamond,"  $100,000,000 ","  $57,377,916 ","  $171,377,916 "
11/7/2019,2019,Midway,"  $100,000,000 ","  $56,846,802 ","  $126,829,063 "
9/24/2010,2010,Legend of the Guardians: The Owls of Ga Hoole,"  $100,000,000 ","  $55,675,313 ","  $139,716,717 "
11/7/1997,1997,Starship Troopers,"  $100,000,000 ","  $54,768,952 ","  $121,100,000 "
6/5/2009,2009,Land of the Lost,"  $100,000,000 ","  $49,438,370 ","  $69,548,641 "
12/18/2003,2003,Peter Pan,"  $100,000,000 ","  $48,417,850 ","  $95,255,485 "
3/15/2019,2019,Wonder Park,"  $100,000,000 ","  $45,216,793 ","  $115,112,118 "
7/23/2004,2004,Catwoman,"  $100,000,000 ","  $40,202,379 ","  $82,078,046 "
8/14/2014,2014,The Expendables 3,"  $100,000,000 ","  $39,322,544 ","  $209,461,378 "
11/27/2002,2002,Treasure Planet,"  $100,000,000 ","  $38,120,554 ","  $91,800,000 "
3/12/2010,2010,Green Zone,"  $100,000,000 ","  $35,497,337 ","  $97,523,020 "
10/13/2017,2017,Geostorm,"  $100,000,000 ","  $33,700,160 ","  $220,796,009 "
12/2/2015,2015,Point Break,"  $100,000,000 ","  $28,782,481 ","  $126,704,591 "
12/17/2019,2019,Cats,"  $100,000,000 ","  $27,166,770 ","  $75,486,351 "
11/26/2015,2015,In the Heart of the Sea,"  $100,000,000 ","  $25,020,758 ","  $89,693,309 "
4/18/2014,2014,Transcendence,"  $100,000,000 ","  $23,022,309 ","  $103,039,258 "
2/18/2005,2005,Son of the Mask,"  $100,000,000 ","  $17,018,422 ","  $59,918,422 "
12/5/2018,2018,Mortal Engines,"  $100,000,000 ","  $15,951,040 ","  $85,480,271 "
2/3/2021,2021,Chaos Walking,"  $100,000,000 ","  $13,287,908 ","  $21,749,207 "
8/16/2002,2002,The Adventures of Pluto Nash,"  $100,000,000 ","  $4,411,102 ","  $7,094,995 "
1/20/2012,2012,Jin líng shí san chai,"  $100,000,000 ","  $311,434 ","  $98,227,017 "
6/12/2020,2020,Artemis Fowl,"  $100,000,000 ",  $0 ,  $0 
11/5/2015,2015,The Peanuts Movie,"  $99,000,000 ","  $130,178,411 ","  $250,091,610 "
2/6/2019,2019,The LEGO Movie 2: The Second Part,"  $99,000,000 ","  $105,806,508 ","  $190,131,036 "
11/21/2018,2018,Robin Hood,"  $99,000,000 ","  $30,824,628 ","  $85,210,012 "
5/4/2001,2001,The Mummy Returns,"  $98,000,000 ","  $202,007,640 ","  $435,040,395 "
11/14/2019,2019,Ford v. Ferrari,"  $97,600,000 ","  $117,624,357 ","  $224,418,748 "
12/20/2002,2002,Gangs of New York,"  $97,000,000 ","  $77,730,500 ","  $183,124,621 "
5/4/2017,2017,Alien: Covenant,"  $97,000,000 ","  $74,262,031 ","  $238,521,247 "
3/6/2015,2015,Cinderella,"  $95,000,000 ","  $201,151,353 ","  $534,551,353 "
6/27/2012,2012,Ice Age: Continental Drift,"  $95,000,000 ","  $161,321,843 ","  $879,765,137 "
12/28/2001,2001,Black Hawk Down,"  $95,000,000 ","  $108,638,745 ","  $159,691,085 "
5/27/2010,2010,Sex and the City 2,"  $95,000,000 ","  $95,347,692 ","  $294,680,778 "
2/12/2010,2010,Percy Jackson & the Olympians: The Lightning Thief,"  $95,000,000 ","  $88,768,303 ","  $223,050,874 "
8/10/2012,2012,The Campaign,"  $95,000,000 ","  $86,907,746 ","  $104,907,746 "
11/12/2010,2010,Unstoppable,"  $95,000,000 ","  $81,562,942 ","  $165,720,921 "
5/9/1997,1997,The Fifth Element,"  $95,000,000 ","  $63,570,862 ","  $263,898,761 "
3/31/2000,2000,The Road to El Dorado,"  $95,000,000 ","  $50,802,661 ","  $65,700,000 "
12/11/2009,2009,The Lovely Bones,"  $95,000,000 ","  $44,114,232 ","  $94,894,448 "
6/30/2016,2016,Ben-Hur,"  $95,000,000 ","  $26,410,477 ","  $91,669,648 "
12/19/2014,2014,Seventh Son,"  $95,000,000 ","  $17,725,785 ","  $108,874,967 "
5/30/2003,2003,Finding Nemo,"  $94,000,000 ","  $380,529,370 ","  $936,094,852 "
12/17/2003,2003,The Lord of the Rings: The Return of the King,"  $94,000,000 ","  $377,845,905 ","  $1,120,214,046 "
12/18/2002,2002,The Lord of the Rings: The Two Towers,"  $94,000,000 ","  $342,548,984 ","  $919,148,764 "
6/15/2001,2001,Lara Croft: Tomb Raider,"  $94,000,000 ","  $131,144,183 ","  $273,330,185 "
1/29/2015,2015,Kingsman: The Secret Service,"  $94,000,000 ","  $128,261,724 ","  $404,561,724 "
12/19/2001,2001,The Lord of the Rings: The Fellowship of the Ring,"  $93,000,000 ","  $315,544,750 ","  $891,216,824 "
7/18/2001,2001,Jurassic Park III,"  $93,000,000 ","  $181,166,115 ","  $365,900,000 "
8/5/2011,2011,Rise of the Planet of the Apes,"  $93,000,000 ","  $176,760,185 ","  $470,986,200 "
2/14/2008,2008,The Spiderwick Chronicles,"  $92,500,000 ","  $71,195,053 ","  $162,839,667 "
10/22/2004,2004,The Incredibles,"  $92,000,000 ","  $261,441,092 ","  $631,441,092 "
2/6/2013,2013,A Good Day to Die Hard,"  $92,000,000 ","  $67,349,198 ","  $304,249,198 "
4/9/2004,2004,The Alamo,"  $92,000,000 ","  $22,406,362 ","  $23,911,362 "
12/22/1995,1995,Cutthroat Island,"  $92,000,000 ","  $10,017,322 ","  $18,517,322 "
12/19/2013,2013,The Secret Life of Walter Mitty,"  $91,000,000 ","  $58,236,838 ","  $187,861,183 "
12/20/2017,2017,Jumanji: Welcome to the Jungle,"  $90,000,000 ","  $404,508,916 ","  $961,613,199 "
7/1/1997,1997,Men in Black,"  $90,000,000 ","  $250,690,539 ","  $587,790,539 "
11/19/1999,1999,Toy Story 2,"  $90,000,000 ","  $245,852,179 ","  $511,358,276 "
8/3/2001,2001,Rush Hour 2,"  $90,000,000 ","  $226,164,286 ","  $347,425,832 "
12/25/2009,2009,Sherlock Holmes,"  $90,000,000 ","  $209,028,679 ","  $498,438,212 "
1/15/2020,2020,Bad Boys For Life,"  $90,000,000 ","  $204,417,855 ","  $424,536,881 "
7/1/2009,2009,Ice Age: Dawn of the Dinosaurs,"  $90,000,000 ","  $196,573,705 ","  $886,686,817 "
12/12/2018,2018,Spider-Man: Into The Spider-Verse 3D,"  $90,000,000 ","  $190,173,195 ","  $375,654,619 "
7/21/2000,2000,What Lies Beneath,"  $90,000,000 ","  $155,464,351 ","  $288,693,989 "
2/13/2020,2020,Sonic The Hedgehog,"  $90,000,000 ","  $146,066,470 ","  $304,962,094 "
4/8/2011,2011,Rio,"  $90,000,000 ","  $143,619,809 ","  $487,519,809 "
7/24/2019,2019,Once Upon a Time…in Hollywood,"  $90,000,000 ","  $142,502,728 ","  $377,562,039 "
10/6/2006,2006,The Departed,"  $90,000,000 ","  $132,384,315 ","  $289,660,619 "
11/3/2000,2000,Charlie s Angels,"  $90,000,000 ","  $125,305,545 ","  $259,736,090 "
6/19/1998,1998,Mulan,"  $90,000,000 ","  $120,620,254 ","  $303,500,000 "
8/13/2008,2008,Tropic Thunder,"  $90,000,000 ","  $110,515,313 ","  $191,145,256 "
12/20/2011,2011,The Girl with the Dragon Tattoo,"  $90,000,000 ","  $102,515,793 ","  $239,373,970 "
7/11/1997,1997,Contact,"  $90,000,000 ","  $100,920,329 ","  $165,900,000 "
6/6/2008,2008,You Don t Mess With the Zohan,"  $90,000,000 ","  $100,018,837 ","  $202,910,991 "
5/19/1995,1995,Die Hard: With a Vengeance,"  $90,000,000 ","  $100,012,499 ","  $366,101,666 "
9/12/2016,2016,The Magnificent Seven,"  $90,000,000 ","  $93,432,655 ","  $162,136,124 "
12/18/2015,2015,Alvin and the Chipmunks: The Road Chip,"  $90,000,000 ","  $85,886,987 ","  $249,517,956 "
6/8/2001,2001,Atlantis: The Lost Empire,"  $90,000,000 ","  $84,052,762 ","  $186,049,020 "
12/25/2008,2008,Valkyrie,"  $90,000,000 ","  $83,107,829 ","  $203,932,174 "
7/16/2015,2015,Pixels,"  $90,000,000 ","  $78,765,986 ","  $244,041,804 "
6/29/2001,2001,Artificial Intelligence: AI,"  $90,000,000 ","  $78,616,689 ","  $235,900,000 "
11/26/2003,2003,The Haunted Mansion,"  $90,000,000 ","  $75,817,994 ","  $155,750,628 "
8/4/2000,2000,Hollow Man,"  $90,000,000 ","  $73,209,340 ","  $191,200,000 "
4/22/2005,2005,The Interpreter,"  $90,000,000 ","  $72,708,161 ","  $162,753,837 "
8/7/2013,2013,Percy Jackson: Sea of Monsters,"  $90,000,000 ","  $68,559,554 ","  $200,859,554 "
7/25/2003,2003,Lara Croft: Tomb Raider: The Cradle of Life,"  $90,000,000 ","  $65,653,758 ","  $157,092,943 "
5/27/2016,2016,Now You See Me 2,"  $90,000,000 ","  $65,075,540 ","  $328,325,007 "
11/21/2001,2001,Spy Game,"  $90,000,000 ","  $62,362,560 ","  $143,049,560 "
4/4/1997,1997,The Saint,"  $90,000,000 ","  $61,363,304 ","  $169,400,000 "
3/10/2000,2000,Mission to Mars,"  $90,000,000 ","  $60,874,615 ","  $106,000,000 "
3/6/2018,2018,Tomb Raider,"  $90,000,000 ","  $58,250,803 ","  $273,477,501 "
12/17/1999,1999,Bicentennial Man,"  $90,000,000 ","  $58,220,776 ","  $87,420,776 "
7/7/2004,2004,King Arthur,"  $90,000,000 ","  $51,877,963 ","  $203,653,524 "
4/25/1997,1997,Volcano,"  $90,000,000 ","  $47,546,796 ","  $120,100,000 "
3/26/1997,1997,The Devil s Own,"  $90,000,000 ","  $42,885,593 ","  $140,900,000 "
7/19/2002,2002,K-19: The Widowmaker,"  $90,000,000 ","  $35,168,966 ","  $65,716,126 "
8/19/2011,2011,Conan the Barbarian,"  $90,000,000 ","  $21,295,021 ","  $63,356,133 "
10/21/2011,2011,The Three Musketeers,"  $90,000,000 ","  $20,377,913 ","  $139,877,913 "
4/21/2017,2017,The Promise,"  $90,000,000 ","  $8,224,288 ","  $10,551,417 "
11/24/2010,2010,The Nutcracker in 3D,"  $90,000,000 ","  $195,459 ","  $20,466,016 "
12/13/2017,2017,Bright,"  $90,000,000 ",  $0 ,  $0 
5/14/2021,2021,Army of the Dead,"  $90,000,000 ",  $0 ,  $0 
5/10/1996,1996,Twister,"  $88,000,000 ","  $241,688,385 ","  $495,700,000 "
6/3/2005,2005,Cinderella Man,"  $88,000,000 ","  $61,649,911 ","  $105,021,488 "
9/11/2018,2018,The Predator,"  $88,000,000 ","  $51,024,708 ","  $159,487,563 "
7/8/2005,2005,Fantastic Four,"  $87,500,000 ","  $154,696,080 ","  $333,132,750 "
2/9/2001,2001,Hannibal,"  $87,000,000 ","  $165,092,266 ","  $350,100,280 "
7/25/2003,2003,Seabiscuit,"  $86,000,000 ","  $120,277,854 ","  $148,715,342 "
12/22/2000,2000,Cast Away,"  $85,000,000 ","  $233,632,142 ","  $427,230,516 "
11/17/2006,2006,Happy Feet,"  $85,000,000 ","  $198,000,317 ","  $385,000,317 "
12/7/2001,2001,Ocean s Eleven,"  $85,000,000 ","  $183,417,150 ","  $450,728,529 "
7/23/2004,2004,The Bourne Supremacy,"  $85,000,000 ","  $176,087,450 ","  $311,001,124 "
7/25/1997,1997,Air Force One,"  $85,000,000 ","  $172,956,409 ","  $315,268,353 "
4/2/2009,2009,Fast & Furious,"  $85,000,000 ","  $155,064,265 ","  $359,347,833 "
3/14/2008,2008,Horton Hears a Who,"  $85,000,000 ","  $154,529,439 ","  $299,477,886 "
3/21/2014,2014,Divergent,"  $85,000,000 ","  $150,947,895 ","  $276,014,965 "
9/27/2012,2012,Hotel Transylvania,"  $85,000,000 ","  $148,313,048 ","  $378,659,142 "
4/3/2019,2019,Shazam!,"  $85,000,000 ","  $140,371,656 ","  $363,664,533 "
11/21/2007,2007,Enchanted,"  $85,000,000 ","  $127,706,877 ","  $340,384,141 "
2/8/2012,2012,Safe House,"  $85,000,000 ","  $126,181,630 ","  $207,884,401 "
7/20/2007,2007,I Now Pronounce You Chuck and Larry,"  $85,000,000 ","  $119,725,280 ","  $185,708,462 "
6/8/2007,2007,Ocean s Thirteen,"  $85,000,000 ","  $117,144,465 ","  $311,744,465 "
12/25/2009,2009,It’s Complicated,"  $85,000,000 ","  $112,735,375 ","  $224,614,744 "
11/20/1998,1998,Enemy of the State,"  $85,000,000 ","  $111,549,836 ","  $250,649,836 "
9/29/2006,2006,Open Season,"  $85,000,000 ","  $85,105,259 ","  $191,932,158 "
11/4/2011,2011,Tower Heist,"  $85,000,000 ","  $78,046,570 ","  $150,422,946 "
11/22/2000,2000,102 Dalmatians,"  $85,000,000 ","  $66,941,559 ","  $66,941,559 "
3/15/2012,2012,Mirror Mirror,"  $85,000,000 ","  $64,935,167 ","  $173,613,482 "
12/8/2006,2006,The Holiday,"  $85,000,000 ","  $63,280,000 ","  $205,190,324 "
6/15/2006,2006,The Fast and the Furious: Tokyo Drift,"  $85,000,000 ","  $62,615,510 ","  $157,794,205 "
12/9/2005,2005,Memoirs of a Geisha,"  $85,000,000 ","  $57,010,853 ","  $161,510,853 "
3/16/2001,2001,Enemy at the Gates,"  $85,000,000 ","  $51,396,781 ","  $96,971,293 "
