Release Date,Year,Movie Title, Budget , Domestic Gross , Worldwide Gross ,W2
9/29/2016,2016,Deepwater Horizon,"  $156,000,000 ","  $61,433,527 ","  $122,603,824 ",<WikipediaPage 'Deepwater Horizon'>
12/10/2010,2010,The Chronicles of Narnia: The Voyage of the Daw…,"  $155,000,000 ","  $104,386,950 ","  $418,186,950 ",[None None None None None None None None]
3/25/2021,2021,Godzilla vs. Kong,"  $155,000,000 ","  $100,563,133 ","  $459,463,133 ",<WikipediaPage 'Godzilla vs. Kong'>
6/24/2015,2015,Terminator: Genisys,"  $155,000,000 ","  $89,760,956 ","  $432,150,894 ",<WikipediaPage 'Terminator Genisys'>
3/16/2018,2018,Pacific Rim: Uprising,"  $155,000,000 ","  $59,874,525 ","  $290,930,148 ",<WikipediaPage 'Pacific Rim: Uprising'>
11/24/2004,2004,Alexander,"  $155,000,000 ","  $34,297,191 ","  $167,297,191 ",<WikipediaPage 'Alexander'>
7/14/2017,2017,War for the Planet of the Apes,"  $152,000,000 ","  $146,880,162 ","  $489,592,267 ",<WikipediaPage 'War for the Planet of the Apes'>
5/25/2001,2001,Pearl Harbor,"  $151,500,000 ","  $198,539,855 ","  $449,239,853 ",<WikipediaPage 'Pearl Harbor'>
7/2/2007,2007,Transformers,"  $151,000,000 ","  $319,246,193 ","  $708,272,592 ",<WikipediaPage 'Transformers'>
11/20/2019,2019,Frozen II,"  $150,000,000 ","  $477,373,578 ","  $1,446,925,396 ",<WikipediaPage 'Frozen II'>
5/29/2017,2017,Wonder Woman,"  $150,000,000 ","  $412,563,408 ","  $818,058,221 ",<WikipediaPage 'Wonder Woman'>
11/22/2013,2013,Frozen,"  $150,000,000 ","  $400,953,009 ","  $1,266,648,320 ",error
2/10/2016,2016,Zootopia,"  $150,000,000 ","  $341,268,248 ","  $1,005,304,638 ",<WikipediaPage 'Zootopia'>
7/11/2007,2007,Harry Potter and the Order of the Phoenix,"  $150,000,000 ","  $292,137,260 ","  $940,743,940 ",<WikipediaPage 'Harry Potter and the Order of the Phoenix'>
11/18/2005,2005,Harry Potter and the Goblet of Fire,"  $150,000,000 ","  $290,201,752 ","  $891,320,084 ",<WikipediaPage 'Harry Potter and the Goblet of Fire'>
5/15/2003,2003,The Matrix Reloaded,"  $150,000,000 ","  $281,553,689 ","  $738,576,929 ",<WikipediaPage 'The Matrix Reloaded'>
12/14/2007,2007,I am Legend,"  $150,000,000 ","  $256,393,010 ","  $585,532,684 ",<WikipediaPage 'I Am Legend (film)'>
1/27/2016,2016,Moana,"  $150,000,000 ","  $248,757,044 ","  $635,606,103 ",<WikipediaPage 'Moana (2016 film)'>
