1917	keyerror
	['Eddie Redmayne', 'Katherine Waterston', 'Dan Fogler', 'Alison Sudol', 'Ezra Miller', 'Samantha Morton', 'Jon Voight', 'Carmen Ejogo', 'Ron Perlman', 'Colin Farrell']
Fantastic Beasts: The Crimes of Grindelwald	0
Fantastic Four	keyerror
Fantastic Four	keyerror
Fantastic Four: Rise of the Silver Surfer	['Ioan Gruffudd', 'Jessica Alba', 'Chris Evans', 'Michael Chiklis', 'Julian McMahon', 'Kerry Washington', 'Andre Braugher', 'Beau Garrett', 'Doug Jones', 'Laurence Fishburne']
Fast & Furious	keyerror
	0
Fast Five	['Paul Walker', 'Jordana Brewster', 'Tyrese Gibson', 'Ludacris', 'Sung Kang', 'Tego Calderon', 'Don Omar', 'Gal Gadot', 'Dwayne Johnson', 'Matt Schulze']
	0
Ferdinand	keyerror
Finding Nemo	0
	['Matt Damon', 'Christian Bale']
	keyerror
Four Christmases	['Vince Vaughn', 'Reese Witherspoon', 'Robert Duvall', 'Jon Favreau', 'Mary Steenburgen', 'Dwight Yoakam', 'Tim McGraw', 'Kristin Chenoweth', 'Jon Voight', 'Sissy Spacek']
Frozen II	['Kristen Bell', 'Idina Menzel', 'Josh Gad', 'Jonathan Groff']
	['Jim Carrey', 'Téa Leoni', 'Alec Baldwin', 'Richard Jenkins']
G.I. Joe: Retaliation	['D. J. Cotrona', 'Byung-hun Lee', 'Adrianne Palicki', 'Ray Park', 'Jonathan Pryce', 'Ray Stevenson', 'Channing Tatum', 'Bruce Willis', 'Dwayne Johnson']
G.I. Joe: The Rise of Cobra	['Channing Tatum', 'Marlon Wayans', 'Adewale Akinnuoye-Agbaje', 'Dennis Quaid', 'Rachel Nichols', 'Saïd Taghmaoui', 'Ray Park', 'Joseph Gordon-Levitt', 'Christopher Eccleston', 'Sienna Miller', 'Byung-hun Lee', 'Jonathan Pryce']
Gangs of New York	['Leonardo DiCaprio', 'Daniel Day-Lewis', 'Cameron Diaz']
	['Will Smith', 'Mary Elizabeth Winstead', 'Clive Owen', 'Benedict Wong']
Geostorm	['Gerard Butler', 'Jim Sturgess', 'Abbie Cornish', 'Alexandra Maria Lara', 'Daniel Wu', 'Eugenio Derbez', 'Ed Harris', 'Andy García']
Get Smart	['Don Adams', 'Barbara Feldon', 'Edward Platt']
G-Force	error
Ghost in the Shell	0
Ghost Rider	keyerror
Ghostbusters	['Bill Murray', 'Dan Aykroyd', 'Sigourney Weaver', 'Harold Ramis', 'Rick Moranis']
Gladiator	error
Godzilla	keyerror
Godzilla	0
Godzilla vs. Kong	0
	['Kyle Chandler', 'Vera Farmiga', 'Millie Bobby Brown', 'Bradley Whitford', 'Sally Hawkins', 'Charles Dance', 'Thomas Middleditch', 'Aisha Hinds',"O'Shea Jackson Jr.", 'David Strathairn', 'Ken Watanabe', 'Zhang Ziyi']
