,name,bday,nationality,gender
400, 'Edward Platt'],Edward Cuthbert Platt February 14 1916 March 19 1974 was an American actor best known for his portrayal of the Chief in the 1965 70 NBC CBS television series Get Smart no bday found,American,male
401,['Jack Nicholson',1937-04-22 00:00:00,American,male
402, 'Frances McDormand',Cynthia Ann Smith ,American,female
403, 'Amanda Peet',1972-01-11 00:00:00,American,female
404, 'Jon Favreau'],1966-10-19 00:00:00,American,male
405,['Vince Vaughn',1970-03-28 00:00:00,American,male
406, 'Reese Witherspoon',1976-03-22 00:00:00,American,female
407, 'Robert Duvall',1931-01-05 00:00:00,American,male
408, 'Mary Steenburgen',1953-02-08 00:00:00,American,female
409, 'Dwight Yoakam',1956-10-23 00:00:00,and,male
410, 'Tim McGraw',1967-05-01 00:00:00,",",male
411, 'Sissy Spacek'],1949-12-25 00:00:00,American,female
412,['John Travolta',1954-02-18 00:00:00,American,male
413, 'Joan Allen',1956-08-20 00:00:00,American,female
414, 'Gina Gershon',1962-06-10 00:00:00,American,female
415, 'Alessandro Nivola',1972-06-28 00:00:00,American,male
416, 'Colm Feore'],1958-08-22 00:00:00,Canadian,male
417, 'Laura Harrier',1990-03-28 00:00:00,American,female
418, 'Tony Revolori',1996-04-28 00:00:00,American,male
419, 'Bokeem Woodbine',1973-04-13 00:00:00,American,male
